"Ahvenanmaa, Finland","""Tjockare �n vatten""",2014
"Lesvos, Greece","""To gymno koritsi""",1982
"Debrecen, Hungary","""Tom�, a csacsi""",2011
"Aswan High Dam, Egypt","""Tonight""",1957
"Shan State, Myanmar","""Top Gear""",2002
"Glenorchy, New Zealand","""Top of the Lake""",2013
"Vladivostok, Russia","""Tore zur Welt""",2006
"River Shannon, Ireland","""Total Fishing with Matt Hayes""",1998
"Cotonou, Benin","""Tout le monde � la plage""",2007
"Qing Dao, China","""Tout le monde � la plage""",2007
"Hua Hin, Thailand","""Tout le monde � la plage""",2007
"Birmingham, England","""Toy Hunter""",2012
"Cluj Napoca, Romania","""Transilvania culturala""",2013
"Acre, Brazil","""Transoce�nica - Die l�ngste Busreise der Welt""",2017
"Mato Grosso, Brazil","""Transoce�nica - Die l�ngste Busreise der Welt""",2017
"Oropesa, Peru","""Transoce�nica - Die l�ngste Busreise der Welt""",2017
"Al Dhaid, United Arab Emirates","""Treasure Hunters""",2011
"Euakafa Island, Tonga","""Treasure Island""",2001
"Maasai Steppe, Tanzania","""Tribe""",2005
"H�vsg�l, Mongolia","""Tribe""",2005
"Omo valley, Ethiopia","""Tribe""",2005
"West Papua, Indonesia","""Tribe""",2005
"Laya, Bhutan","""Tribe""",2005
"Yamalo-Nenets, Russia","""Tribe""",2005
"Sarawak, Malaysia","""Tribe""",2005
"Bol�var, Venezuela","""Tribe""",2005
"Bench Maji, Ethiopia","""Tribe""",2005
"Xinjiang, China","""Tribes and Empires: Storm of Prophecy""",2017
"Chongqing, China","""Trouble Killer""",2017
"County Monaghan, Ireland","""Trouble Times Three""",2012
"Ayia Napa, Cyprus","""Trust Me: I'm a Holiday Rep""",2005
"Cabrera, Dominican Republic","""Tr�pico""",2007/I
"Mazze, Italy","""Tu Come Noi",Diventa Una Star
"Alavus, Finland","""Tulisuudelma""",1990
"Kangasniemi, Finland","""Tulisuudelma""",1990
"Rautavaara, Finland","""Tulisuudelma""",1990
"Kaarina, Finland","""Tulisuudelma""",1990
"Raisio, Finland","""Tulisuudelma""",1990
"Saarij�rvi, Finland","""Tulisuudelma""",1990
"Hein�vesi, Finland","""Tulisuudelma""",1990
"Kurikka, Finland","""Tulisuudelma""",1990
"Yl�ne, Finland","""Tulisuudelma""",1990
"Hankasalmi, Finland","""Tulisuudelma""",1990
"S�kyl�, Finland","""Tulisuudelma""",1990
"Tuuri, Finland","""Tuuri""",2010
"Alaj�rvi, Finland","""Tuuri""",2010
"Petakh Tikvah, Israel","""Tyrant""",2014
"S�rmell�k, Hungary","""T�skev�r""",1967
"Brumunddal, Norway","""U""",1991
"Ullersmo Landsfengsel, Norway","""U""",1991
"Drangedal, Norway","""U""",1991
"Troms�, Norway","""U""",1991
"Hemsedal, Norway","""U""",1991
"Kristiansand, Norway","""U""",1991
"Island of Colares, Brazil","""UFO Files""",2004
"Loftraum, Toronto","""UFOs Declassified""",2015
"Versailles, France","""Ultimate Rush""",2011
"Malpelo Island, Colombia","""Ultimate Rush""",2011
"Katthammaren, Norway","""Ultimate Rush""",2011
"Trag��, Austria","""Ultimate Rush""",2011
"Alfandega da F�, Portugal","""Um Lugar Para Viver""",2009
"Macedo de Cavaleiros, Portugal","""Um Lugar Para Viver""",2009
"Mirandela, Portugal","""Um Lugar Para Viver""",2009
"Androka, Madagascar","""Un ciclone in famiglia""",2005
"Grisons, Switzerland","""Un enfant parmi tant d'autres""",1968
"Nouvelle-Cal�donie, France","""Un enfant parmi tant d'autres""",1968
"Punta Cana, Dominican Republic","""Un gars, une fille""",1997
"Saint Anne, Seychelles","""Un gars, une fille""",1999
"Asturias, Spain","""Una historia real""",2004
"Jan Mayen, Norway","""Unknown Islands""",2011
"Xinjiang Province, China","""Untamed China""",2011
"Sichuan Province, China","""Untamed China""",2011
"Yunnan Province, China","""Untamed China""",2011
"Qinghai Province, China","""Untamed China""",2011
"Limerick City, Ireland","""UpGrade: The Web Series""",2015
"Borneo, Indonesia","""Ushua�a nature""",1998
"Afar, Ethiopia","""Ushua�a nature""",1998
"Nunavut, Canada","""Ushua�a nature""",1998
"Irian Jaya, Indonesia","""Ushua�a nature""",1998
"Istra, Slovenia","""Usodno vino""",2015
"Kobani, Syria","""Uvda""",1993
"Peng Chau, Hong Kong","""VANISHING: Asia""",2017
"Hirvensalmi, Finland","""Vain el�m��""",2012
"Sanliurfa, Turkey","""Vasiyet""",2001
"Luznica Castle, Croatia","""Vatre Ivanjske""",2014
"Ferreira do Z�zere, Portugal","""Velhos Amigos""",2011
"Santar�m, Portugal","""Velhos Amigos""",2011
"Kruzberk, Czech Republic","""Velk� sedlo""",1985
"Khabarovsk, Russia","""Ven�j�n halki 30 p�iv�ss�""",2010
"Irkutsk, Russia","""Ven�j�n halki 30 p�iv�ss�""",2010
"Nizhny Novgorod, Russia","""Ven�j�n halki 30 p�iv�ss�""",2010
"Sauda, Norway","""Vestavind""",1994
"Tuzla, Bosnia-Herzegovina","""Vi ste dobro, a kako smo mi?""",2016
"Indre-et-Loire, France","""Vidocq""",2010
"Rio Negro, Argentina","""Vientos del Sur con Francis Mallmann""",2013
"Ribatejo, Portugal","""Vila Faia""",2008
"Raroia, French Polynesia","""Villervalle i S�derhavet""",1963
"Knysna Elephant Park, South Africa","""Vivre avec l'animal""",2011
"Hamme, Belgium","""Vlaanderen Reisland""",2015
"Samara, Russia","""Volga 30 p�iv�ss�""",2016
"Volgograd, Russia","""Volga 30 p�iv�ss�""",2016
"Tamil Nadu, India","""Voxtours""",1993
"Studio Luxembourg, Luxembourg","""Vrouwenvleugel""",1993
"Mopti, Mali","""W@=d@""",2006
"Begnematou, Mali","""W@=d@""",2006
"Cleveland Ohio, USA","""WOTN Cleveland""",2016
"Tikrit, Iraq","""WWE Monday Night RAW""",1993
"CBS Studio Center. 4024 Radford Avenue. Studio City, CA USA","""Waiting on Brad""",2017
"Gan Su Province, China","""Walking the World""",2007
"Bordeaux, France","""Wauters vs Waes""",2014
"Yangon, Myanmar","""Way of Life""",2016
"Vieques Island, Puerto Rico","""Wedding Island""",2013
"Bordelais, France","""Weinprobe""",2004
"Tokaj-Hegyalja, Hungary","""Weinprobe""",2004
"Kanton Wallis, Switzerland","""Weinprobe""",2004
"Tokushima, Japan","""Werukame""",2009
"Genzano di Lucania, Italy","""While""",2015
"Wijnegem, Belgium","""Wij van Belgi�""",2009
"Shenton Safaris, Zambia","""Wild Africa""",2001
"Languedoc, France","""Wild Camping""",2011
"Black River, Jamaica","""Wild On...""",1997
"Zambezi River, Zambia","""Wild Things with Dominic Monaghan""",2012
"Kanton Glarus, Switzerland","""Wilder""",2017
"Central Australia, Australia","""Wilderness Explored""",2008
"Black Sea, Georgia","""Without Accreditation""",2011
"Borjomi, Georgia","""Without Accreditation""",2011
"Chokhatauri, Georgia","""Without Accreditation""",2011
"Kaspi, Georgia","""Without Accreditation""",2011
"Kutaisi, Georgia","""Without Accreditation""",2011
"Poti, Georgia","""Without Accreditation""",2011
"Guria, Georgia","""Without Accreditation""",2011
"Halle, Belgium","""Witse""",2004
"Sluis-Aardenburg, Netherlands","""Wittekerke""",1993
"Breskens, Netherlands","""Wittekerke""",1993
"Little Guilin, Singapore","""Wo lai ye""",2001
"Molde, Norway","""Wonder Extravaganza""",2014
"Rio De Janeiro, Brazil","""Wonder Women""",2016
"Hoedspruit, South Africa","""Wonder Women""",2016
"Dindigul, India","""Wonder Women""",2016
"Northern India, India","""World's Biggest Family""",2014
"Ittre, Belgium","""World's Most Extreme Homes""",2006
"Kitengela Plain, Kenya","""World's Most Extreme Homes""",2006
"Gandoca-Manzanillo Wildlife Refuge, Costa Rica","""World's Most Extreme Homes""",2006
"Glaskogens Nature Reserve, Sweden","""World's Most Extreme Homes""",2006
"V�rmlands l�n, Sweden","""World's Most Extreme Homes""",2006
"Dordogne, France","""Wunder der Erde""",1987
"Deutschlandhalle Berlin, Germany","""W�nsch dir was""",1969
"Caldas da Rainha, Portugal","""Xeque-Mate""",2010
"Heilongjiang, China","""Xiang cun ai qing""",2006
"South Andros, Bahamas","""Xtreme Gladiator Fitness Challenge""",2017
"Guangxi, China","""Xue se can yang""",2005
"Fukushima, Japan","""Yae no sakura""",2013
"Elifaz, Israel","""Yellow Peppers""",2010
"Nevsehir, Turkey","""Yer G�k Ask""",2010
"Hebei Province, China","""Yi zhen""",2013
"Campeche, Mexico","""Yo compro esa mujer""",1990
"Batam, Indonesia","""Yong zhe wu ju""",1994
"Rabat, Malta","""You, Me and the Apocalypse""",2015
"Changchun, China","""Yuan Qu De Fei Ying""",2011
"Fuzhou, China","""Yuan xiang""",2014
"Olympiastadion, Berlin","""ZDF Sport Extra""",1980
"Zelzate, Belgium","""Zeskamp""",1968
"Bajina Basta, Serbia","""Zivot je cudo""",2006
"Shanxi, China","""Zou xi kou""",2009
"Peloponese, Greece","""Zu Tisch in...""",2001
"Bohemia, Czech Republic","""Zu Tisch in...""",2001
"Lastovo, Croatia","""Zu Tisch in...""",2001
"Senyuva, Turkey","""Zu Tisch in...""",2001
"Saxony, Germany","""Zu Tisch in...""",2001
"Thuringia, Germany","""Zu Tisch in...""",2001
"Wallonia, Belgium","""Zu Tisch in...""",2001
"Macao, Portuguese Colony","""Z� Gato""",1979
"Hamedan, Iran","""alalbadal""",2016
"Foz do Arelho, Portugal","""�gua de Mar""",2014
"Hargeisa, Somalia","""�hl�m s�hl�m""",2006
"Anttola, Finland","""�kki� Anttolassa""",1999
"Mekn�s, Morocco","""�curies extraordinaires""",2002
"Louvranges, Belgium","""�curies extraordinaires""",2002
"H�dmez�v�s�rhely, Hungary","""�get� Eszter""",1989
"Sey�isfj�r�ur, Iceland","""�f�r�""",2015
"Budajeno, Hungary","""�regber�ny""",1993
"Buda�rs, Hungary","""�sszeEsk�v�k""",2011
"Oslo City, Norway","""�stkant/Vestkant""",2018
"Hamuliakovo, Slovakia","""�tulkovo""",2014
"Zvolen, Slovakia","""�tulkovo""",2014
"Trebon, Czech Republic","""�zem� b�l�ch kr�lu""",1991
"Fethiye, Turkey","""�mit milli""",2006
"Ada Bojana, Montenegro",#SamoKazem,2013
"Estado Carabobo, Venezuela",#TheFaustFlick,2017
"Novi Zagreb, Croatia",'Lorena & Dorian' Fashion,2015
"Grimbergen, Belgium",'t Bolleken,1988
"Dendermonde, Belgium",'t ros Beiaard doet zijn ronde,1953
(Menya zdes net) (2009),"Irkutskiy Region, Russia"
"Australian Capital Territory, Australia",...Maybe This Time,1981
"Samos, Greece",.to koritsi,2006
"Iten, Kenya",01:05:12. Una carrera de fondo,2015
"Petah Tikva, Israel",0:0,Teko Efes
"K�lvi�, Finland",1 + plus 1 + plus 1 - sympathy for the decay,2012
"Nogaro, France",1 Liter auf 3000 km,2007
"Deurne, Belgium",1 Mei-programma,1970
"Temuco, Chile","10 Tage, ein ganzes Leben",2004
"Providence Rhode Island, USA",10-56,2018
"Bhalla's Bunglow, India",100 Days,1991
"Orenburg, Russia",100 Years of First Telephone Call,2008
"Andhra Pradesh, India",100 miljoen kinderen,2005
"Medno, Slovenia",100 tock,2014
"Libus�n, Czech Republic",1000 Combattants en armure! Bataille de Libushin 2017,2017
"Grote Markt Ieper, Belgium",11 Juli-programma bij gelegenheid van de slag der gulden sporen,1959
"Ekaterinburg, Russia",11th Route,2006
"Trier, Germany",125 Jahre Trierischer Volksfreund,2000
"Attard, Malta",13 Hours,2016
"M�nts�l�, Finland",1323,2011
"Noszvaj, Hungary",147 rov�s,2018
"Rostov, Russia",149/95,2006
"Lalgarh, India",1700 kelvin,2012
"G�sa-dalur, Faroe Islands",1700 meter fra fremtiden,1990
1804: The Hidden History of Haiti (2017),"Port au Prince, Haiti"
"Attica, Greece",180� moires,2010
"Liscate, Milano",1910-2010 Cicrespi e il suo secolo,2012
"Kasauli, India",1942: A Love Story,1994
"Ascension Parish, Louisiana",1959,2016
"Mahajan Firing Range, Rajasthan",1965: India's Battles & Heroes,2015
"Gazipur, Bangladesh",1971,2017/I
"Haryana, India",1982 - A Love Marriage,2017
"Gokarna, India",1:1.6 An Ode to Lost Love,2004
"Pageluze, Lithuania",2 Indeliai Jogurto,2011
"Mentawai Sanctuary, Indonesia",20 Minute Amps,1999
"Long Bay, Jamaica","20,000 Leagues Under the Sea",1954
"Alag, Hungary",2000 m�ter,2001
"Tavarua, Fiji",2006 Globe WCT FIJI,2006
"The K-Hotel Seoul, South Korea",2015 KWEB Fest Award Show,2015
"Divok� Orlice, Czech Republic",20h17 rue Darling,2003
"Kurdistan, Iraq",21 Days to Nawroz,2009
"Ben Tre, Vietnam",21 and a Wake-Up,2009
"Busan, South Korea",23 Coming Together: A Hop and a Hurdle,2007
"Kastav, Croatia",233,2009
"Casio Du Liban, Lebanon",24 Hours to Kill,1965
"Ard�che, France",24 passions,2004
"Imbros, Turkey",25os mesimvrinos,2012
"Pavlovsk� Vrchy, Czech Republic",2Bobule,2009
"Erzincan, Turkey",3. istasyon,1992
"Kromer�z, Czech Republic",30 panen a Pythagoras,1977
"Plitvice, Croatia",30. Plitvice Marathon: USUSRET MARATONU,2015
"Sandholm, Denmark",300 mil do nieba,1989
"Bourglenster, Luxembourg",31 Min.,2004
"Helsfyr, Oslo",314,2013
"Herning, Denmark",318,2012
"Rua 5 de Outubro, Macau",350 Metros,2007
"Ulupamir, Turkey",37 Uses for a Dead Sheep,2006
"Free State, South Africa",3SAI: A Rite of Passage,2008
"Alba Adriatica, Italy",4 Underpants,2014
"Lopaca, Croatia",4. majmun,2013
"Carlos Paz, Argentina",40 a�os de novios,1963
"Corbas, France",4000: A Skydive Story,2015
"Usz�d, Hungary",411-Z,2007
"Sde Boker, Israel",42:6 - Ben Gurion,1969
"Capital Federal, Argentina",5 A.M. Cinco ante los miedos,2016
"Guarda, Portugal","5 F's: Fria, Farta, Fiel, Forte, Formosa",2005
"Wilbury Barn, Swallowcliffe",5 Greedy Bankers,2016
"Chandigarh, India",5 Weddings,2018
"Parque Nacional Natural Los Nevados, Colombia","5,321 msnm : En Ascenso",2014
"Amsterdam-Oost, Netherlands",50 Jaar Filmacademie,2008
"Otago, New Zealand",50 Ways of Saying Fabulous,2005
"Rupelmonde, Belgium","56,79� Noord - 2,17� Oost",1957
"Lake Baikal, Russia",6 mois de cabane au Ba�kal,2011
"Karnataka, India",6-5=2,2014
"Pasay, Philippines",65th Miss Universe,2017
"Woodlands, Singapore",6horts #4: Checkpoint,2002
"Glendale California, USA",6th NAFCA Annual Show,2017
"Limbiate, Italy","7 Days,7 Girls",2017
"Kashmir, Pakistan",7.6,2006
"Island Rab, Croatia",70 godina DVD-a Rab,2016
"Gadzhiev, Russia",72 metra,2004
"Harbin, China",731: Two Versions of Hell,2007
"Mama Vicki's Coney Island Downtown 408 Huron Ave Port Huron, Michigan",75 North,2019
"Montagne de Lussy, Switzerland",8,2010
"Odda, Norway",80 grader aust for Birdland,2000
8744 (2006) (TV),"Gersthofen, Germany"
"Shikoku, Japan",88 - Pilgern auf Japanisch,2008
"Brest, Belarus",89 mm od Europy,1993
"Kepulauan Seribu, Indonesia",9 Hari 9 Malam,2015
"Sealand, Denmark",9 Hours,2014
"Najaf, Iraq",90 Kilometres to Salvation,2014
"Seville, Spain",914,2015
"Gombe National Park, Tanzania",98% Human,2017/I
"Imphal, India",?: A Question Mark,2012
"Campulung, Romania",A 'Dreamlife',2016
"Bangalore, India",A 'Pitch-Dark' Diorama,2016
"Aux de Provence, France",A Arvore da M�sica,2009
"Sloboda Pechery, Russia",A Barge Called Hope,2006
"Alcacer Qibir, Morocco",A Batalha dos Tr�s Reis,2005
"Wen Zhou, China",A Blank Page,2015
"Cartagena and Santa Marta, Colombia",A Book of Common Prayer,????
"Mombasa, Kenya",A Boy,2006
"San Antonio Texas, USA",A Call in the Dark,2017
"Kansas and Missouri, USA",A Call to the Dark,2017
"Bu�aco, Portugal",A Ca�ada do Malhadeiro,1969
"Kopilmoni, Bangladesh",A Certain Liberation,2003
"Noosa, Australia",A Christmas Feast with Peter Kuruvita,2014
"Sharpsburg, Georgia",A Christmas Memory,1997
"Serra do Ramalho, Brazil",A Cidade do Futuro,2016
"Sergipe, Brazil",A Contenda,1998
"Orinoco River, Venezuela",A Coorial on the Orinoco,1918
"Palho�a, Brazil",A Crise de Acr�sio,2009
"Srebrenica, Bosnia-Herzegovina",A Cry from the Grave,1999
"Tamaulipas, Mexico",A Date with Anna,2002
"Bastogne, Belgium",A Day Into the Bulge,2014
"Rensselaerville, New York",A Documentary Film: Rensselaerville,2010
"Pernambuco, Brazil",A Emparedada da Rua Nova,2010
"Covilh�, Portugal",A Escolha,2008
"Giurgiu, Romania",A Family,2009
"Krusevo, Macedonia",A Fist of Memory,2015
"La Jolla, Mexico",A Fistful of Barrels,2006
"Orissa, India",A Fistful of Rice,2008
"Caramulo, Portugal",A Floresta das Almas Perdidas,2017
"Khobar, Saudi Arabia",A Frame,2007
"Batalha, Portugal",A Fuga,2013
"Saltad�re, Haiti",A Future for Saltad�re,2008
"P�cs, Hungary",A F�ld szeret�je,2010
"Melilla, Spain",A Ghentar si muore facile,1967
"Hermon Mountain, Israel",A Girl Like Me,2015
"Bela krajina, Slovenia",A Girl and a Tree,2012
"Khoy, Iran",A Girl in the Room,2016
"Nayarit, Mexico",A God's Shadow,2017
"County Offaly, Ireland",A Grand Experience,2012
"Andes, Bolivia",A Grande Arte,1991
"Gangwon-do, South Korea",A Green Mountain in the Drawer,2008
"Mariehamn, �land Islands",A Hedgehogs's Journey,2016
"Antwerp, Belgium",A Hora do Diabo,2014
"Nisa, Portugal",A Idade Maior,1991
"Berlengas, Portugal",A Ilha,1990
"Dzanga-Sangha Reserve, Central African Republic",A Journey to Dzanga Bai,2011
"Sumatra, Indonesia",A Jungle Gigolo,1933
"Waikato, New Zealand",A Letter to a Samurai,2011
"Fallujah, Iraq",A Letter to the Prime Minister,2005
"Nimes, France",A Long Way from Home,2013
"Luso, Portugal",A Luz Escureceu Nos Teus Cabelos,2012
"Tanzania, East Africa",A Maasai Story,2017
"Mandalay, Burma",A Maid of Mandalay,1913
"Lugansk, Ukraine",A Man Scorned,2013
"Bureh Beach, Sierra Leone",A Million Waves,2016
"Mercado de las pulgas de la ciudad de Buenos Aires, Argentina.",A Mina,2016
"Savitaipale, Finland",A Moment in the Reeds,2017
"Butare, Rwanda",A Mother's Love: Rosamond Carr and a Lifetime in Rwanda,2010
"Tientsin, China","A Muddy Street, Tien-Tsin, China",1904
"Moscow, USSR",A Nation Dances,1942
"Offaly, Ireland",A Nightingale Falling,2014
"Port Vila, Vanuatu",A Nivan Odyssey,2013
"Entre-os-Rios, Portugal",A Noiva,2007
"Amarante, Portugal",A Outra Margem,2007
"Aguadilla, Puerto Rico",A Perfect Getaway,2009
"El Impenetrable, Argentina",A Place Called Los Pereyra,2009
"Yiwu, China",A Portrait of Sino-American Friendship,2008
"Nakorn Pathon & Bangkok,Thailand",A Prayer Before Dawn,2017
"Figueira da Foz, Portugal",A Promessa,1973
"Punjab, Pakistan",A Punjab Village,1925
"Canterbury, New Zealand",A Quiet Night,2000
"Colenso, South Africa",A Reconnoitre in Force,1900
"Viseu, Portugal",A Ronda da Noite,2017
"Entre-Douro-e-Minho, Portugal",A Rosa do Adro,1919
"Minho, Portugal",A Rosa do Adro,1938
"Perm, Russia",A Russian Fairytale,2013
"Praia da Tocha, Portugal",A Safra da Faina,2014
"Rotterdam, Netherlands",A Short Tour & Farewell,2015
"Ein Gedi, Israel",A Sign of Crickets,2004
"Saigon, Vietnam",A Silent Night,2004
"Jindabyne and Kosciuszko National Park - New South Wales, Australia",A Simple Man,2013
"Cork City, Ireland",A Slight Case of Sexual Harassment,2010
"Argozelo, Portugal",A Sombra dos Abutres,1998
"Ilinois, USA",A Stachnik Story,2013
"Bangladesh Border, India",A State Is Born,1971
"S.S. Kaiserine Maria Theresa, Atlantic Ocean",A Storm at Sea,1900
"Mazandaran, Iran",A Strange Morning of September,????
"Banda Aceh, Indonesia",A Tale of Two Tsunamis,2013
"Sabrosa, Portugal",A Terra Antes do C�u,2007
"Istria Peninsula, Yugoslavia",A Time of Destiny,1988
"Petaling Jaya, Malaysia",A Tree in Tanjung Malim,2004
"Arashyama, Japan","A Trip to the Famous Picnic Grounds of Arashyama, Japan",1913
"Biskra, Algeria",A Trip to the Garden of Allah,1912
"Barcelos, Portugal",A Tua Plateia,2015
"Serowe, Botswana",A United Kingdom,2016
"Limassol, Cyprus",A Vicious Cycle,2006
"Cannes, France",A Viking on the Croisette,????
"Manang, Nepal",A Walk to Manang,2009
"Jinan, China",A Wealth of Nations,2014
"Ramallah, Palestine",A Wedding in Ramallah,2002
"Fiordland, New Zealand",A Wild Moose Chase,1995
"Caminha, Portugal",A casa do lado,2012
"Napoli, Italy",A casa tutti bene,2018
"Guerrero, Mexico",A cielo abierto,2007
"Levoca, Slovakia",A fekete v�ros,1972
"San Antonio de Los Ba�os, Cuba",A fuego lento,1991
"Arcadia, Greece",A groussa namou,2011
"N�daslad�ny, Hungary",A gyerty�k csonkig �gnek,2006
"Taksony, Hungary",A harminckilences dand�r,1959
"Inota, Hungary",A hetedik k�r,2009
"Karcag, Hungary",A hortob�gy legend�ja,2008
"Szir�k, Hungary",A h�rom test�r Afrik�ban,1996
"Bodajk �s k�rny�ke, Hungary",A kis utaz�s,2000
"Annav�lgy, Hungary",A k�k b�lv�ny,1931
"Mons, Belgium",A la recherche d'Emilio Saltarelli,2015
"Caspana, Chile",A la sombra del sol,1974
"Bovec, Slovenia",A legy�zhetetlenek,2013
"Gyermely, Hungary",A leg�nyanya,1989
"Estudios Baires, Argentina",A los cirujanos se les va la mano,1980
"N�dasdlad�ny, Hungary",A l�thatatlan seb,2014
"Martfu, Hungary",A martf�i r�m,2016
"�zd, Hungary",A mi kis Eur�p�nk,2006
"Miskolc, Hungary",A miskolci boni�skl�jd,2004
"P�pa, Hungary",A morcogi,2008
"Bragan�a, Portugal",A morte � o �nico perd�o,2014
"F�l�ph�za, Hungary",A nagyf�l�,1965
"T�m�rk�ny, Hungary",A n�ni,2017
"Volgograd, USSR",A parokhody gudyat i ukhodyat...,1972
"Kosice, Slovakia",A szerelem v�gzetes j�t�ka,1993
"Medgyesbodz�s, Hungary",A s�llyed� falu,2007
"�csa, Hungary",A tan�t�n�,1945
"Balaton-felvid�k, Hungary",A temetetlen halott,2004
"Szentendre, Hungary",A tisztess�g nev�ben,1920
"Rimetea, Romania",A tolonc,1915
"Dunaf�ldv�r, Hungary",A t�nk meg a sz�le,1984
"Tinnye, Hungary",A t�r�kfejes kopja,1974
"Brusnik, Serbia",A zivot jde d�l,1935
"Karoo, South Africa","A, Deadman",2016
"Brooklyn New York, USA",A-Lexi,2017
"Polders, Belgium",A-men,2008
"Neufles-Auvergny, France",A.L.F.,2012
"Afyon, Turkey",A.R.O.G,2008
"Zorzor, Liberia",ABC,2012
"Manipur, India","AFSPA, 1958",2006
"Panavision Studios, Paris",ASA: Film Matters,2014
"Urubamba Valley, Peru",AYA,2016
"Yamagato, Japan",Aa kokyo,1938
"Vizag, India",Aadu Magaadra Bujji,2013
"Rajaram Bunglow, India",Aakhir Kaun Thi Woh?,2000
"Teteringen, Netherlands",Aan tafel met een huurmoordenaar,2017
"Oulunsalo, Finland",Aarne,2006
"Nadiadwala Bungalow, India",Aashiqui,1990
"Mussourie, India",Aasma,2015
"Iitti, Finland",Aatamin poika,1996
"Salla, Finland",Aatsinki: The Story of Arctic Cowboys,2013
"Punjab, India",Aatu Khoji,2011
"National Park, India",Aaya Toofan,1999
"Dammam, Saudi Arabia",Aayesh,2010
"Zanjan, Iran",Aba jan,2017
"Naxos, Greece",Abba Ganuv II,1989
"Ahwaz, Iran",Abjad,2003
"Gaoui, Chad",Abouna,2002
"Cordova, Spain",Abraxas: Day of the Warrior,2012
"Nueva Helvecia, Uruguay",Abre el helv�tico,2003
"Medzilaborce, Slovakia",Absolut Warhola,2001
"Hyberdad, India",Absorbed,2013/I
"Lahic, Azerbaijan",Absurdistan,2008
"Cascaes, Portugal",Abuelo Made in Spain,1969
"Ch'erch'er, Ethiopia",Abuna Messias,Vendetta africana
"Bujumbura, Burundi",Abuse,2008
"Svishtov, Bulgaria",Academiata,2001
"Seefeld, Germany",Ackerbodenbearbeitung,1944
"Vila Nova de Gaia, Portugal",Aconteceu em Setembro - FITEI,1983
"La Gran Sabana, Venezuela",Acopan - Aufbruch zum G�tterberg,2008
"Rio Keve, Angola","Acorda, Leviat�",2015
"Upstate New York, USA",Act 1,2004
"Su�ureyri, Iceland",Act Alone,2015
"Skiathos, Greece",Act of Piracy,1988
"Campulung Muscel, Romania",Actiunea Autobuzul,1978
"Ma'agan Michael, Israel",Ad Sof Hayom,2014
"Shumen, Bulgaria",Ad libitum 2. Rechitativ na zavistnika,2000
"Navarra, Spain",Ada,2011
"Rogla, Slovenia",Adagio,2015/I
"Besan�on, France",Adam,2012/II
"Lannach, Austria",Adam,2014/III
"Little Harbor, Bahamas",Adam Lost His Apple,1965
"Luhacovice, Czech Republic",Adam a Eva,1940
"Kladno, Czech Republic",Adam a Otka,1974
"Ganja, Azerbaijan",Adam ol!,2005
"Reunion Island, France",Adama,2015
"Ben Shemen, Israel",Adamah,1947
"Amazon Rainforest, Ecuador",Adelante Petroleros! L'oro nero dell' Ecuador,2013
"Langlebury Scool Mansion. Hertfordshire, UK",Adele: Rolling in the Deep,2010
"Cantanhede, Portugal",Adeus At� ao Meu Regresso: Soldados do Imp�rio,2007
"Nadi, Fiji",Adhura Sapna,2007
"Pireus, Greece",Adistaktoi,1965
"North Atlantic, Atlantic Ocean",Advancing Man,????
"Goroka, Papua New Guinea","Adventist Aviation Services: Uniting, Building and Serving Papua New Guinea",2014
"Pisac, Peru",Adventures in South America,1946
"Cocos Island, Costa Rica",Adventures of the Quest: Guardians of the Deep,2000
"Barcelona, Catalonia","Ad�u, Barcelona",2016
"Bagram, Afghanistan",Aeromedical,2012
"Platres, Cyprus",Afairesis,2014
"Ethiola, Kenya",Africa Adventure,1954
"Gorongosa National Park, Mozambique",Africa's Lost Eden,2010
"Ndutu, Tanzania",African Bambi,2007
"Maasai Mara Game Reserve, Kenya",African Cats,2011
"Malgas Island, South Africa",African Sea Birds,1914
"Duk Payuel, Sudan","African Soul, American Heart",2008
"Malindi, Kenya",Afrikan t�hdet,2013
"Masinka, Kenya",Afrikkalainen keskustelu,1972
"Kitgum, Uganda",After Kony: Staging Hope,2011
"Semey, Kazakhstan",After the Apocalypse,2010
"Nicobar Islands, India","Aftermath, the Second Flood",2013
"Xanthi, Greece",Afti i nyhta menei,2000
"Afula, Israel",Afula Express,1997
"Taroudant, Morocco",Agadir Bombay,2011
"Monastir, Tunisia",Age of Treason,1993
"Kauvatsa, Finland",Agente encubierto,2007
"Zebeg�ny, Hungary",Aggyisten Biri!,1928
"Akbarally, India",Agni Sakshi,1996
"Lede, Belgium",Agnus Dei,2014
"Tlaxcala, Mexico",Agonia,1991
"Delimara, Malta",Agora,2009
"Aguas Verdes, Argentina",Aguas verdes,2009
"Urubamba River, Peru","Aguirre, der Zorn Gottes",1972
"Cumbay�, Ecuador",Agujero Negro,2017
"San Pedro de Macor�s, Dominican Republic","Ahora que vuelvo, Ton",1983
"Rio Cristal, Cuba",Ahora seremos felices,1938
"Novaci, Romania",Aici e casa mea,2016
"Berry, France",Ainsi va la Terre,1993
"Sharjah, United Arab Emirates",Air Outpost,1937
"Yogyakarta, Indonesia",Air mata surga,2003
"Airport of Nicosia, Cyprus",Airport for sale,2007
"Saipan, Northern Mariana Islands","Airstrip - Aufbruch der Moderne, Teil III",2014
"Hodaka, Japan",Aisuru,1997
"Hunza Valley, Pakistan","Aitzaz, The Brave",2017
"Art Bunglow, India",Akayla,1991
